primary_category_id,primary_category_ko,normalized_institution,author_count,selected_paper_count,matched_filter_views,dual_affiliation_author_count,raw_affiliation_variants
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Soongsil University,9,4,university,0,Soongsil Univ. | Soongsil university | Soongsil University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,University of Seoul,9,4,university,0,"Computer Vision Lab, University of Seoul | Seoul City University | Seoul City University; University of Seoul | University of Seoul"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Jeonbuk National University,8,3,university,0,Jeonbuk National University | Jeounbuk National University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Sogang University,8,2,university,0,Sogang university | Sogang University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Chungnam National University,7,4,university,0,Chungnam National University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,DGIST,7,6,university,0,Daegu Gyeongbuk Institute of Science and Technology | DGIST
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Kookmin University,6,3,university,0,Kookmin University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Inha University,5,2,university,0,Inha University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Korea Aerospace University,5,2,university,0,Korea Aerospace University | Korea Aerospace University; Korea Aerospace University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Sejong University,5,2,university,0,"Robotics and Computer Vision Lab, Sejong University | Sejong University"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Handong Global University,4,2,university,0,Handong Global University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,University of Ulsan,4,1,university,0,"Asan Medical Center, University of Ulsan | Ulsan University | Ulsan University; Ulsan University"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Kangwon National University,3,2,university,0,Kangwon National University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Konkuk University,3,2,university,0,Konkuk University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Pukyong National University,3,2,university,0,Pukyong National University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Sookmyung Women's University,3,1,university,0,Sookmyung Women's University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,University of Ulsan College of Medicine,3,1,university,0,"Asan Medical Center, Seoul, South Korea; University of Ulsan College of Medicine, Ulsan University | University of Ulsan College of Medicine | University of Ulsan College of Medicine, Asan Medical Center"
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Ajou University,2,2,university,0,Ajou University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Asan Medical Center,2,1,university,0,Asan Medical Center; Chosun University | Asan Medical Center; Korea National Open University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Catholic University of Korea,2,1,university,0,Catholic University of Korea | The Catholic University of Korea
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Korea Cyber University,2,1,university,0,Korea Cyber University | Korea Cyber University; SAKAK Inc.
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Seoul National University Hospital,2,2,university,0,Seoul National University Hospital | Seoul National University Hospital; Seoul National University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Changwon National University,1,1,university,0,Changwon National University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Dankook University,1,1,university,0,Dankook University
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Korea Institute of Energy Technology,1,1,university,0,Korea Institute of Energy Technology
KOREAN_UNIVERSITY_GRAD_SCIENCE_INSTITUTE,한국 대학·대학원·과학기술원,Kwangwoon University,1,1,university,0,Kwangwoon University
KOREAN_RESEARCH_INSTITUTE,한국 연구기관,ETRI,10,6,university|research,1,Electronics and Telecommunication Research Institute | Electronics and Telecommunications Research Institute | Electronics and Telecommunications Research Institute; Sung Kyun Kwan University | ETRI
KOREAN_RESEARCH_INSTITUTE,한국 연구기관,KETI,9,8,university|research,1,Korea Electronics Technology Institute | Korea Electronics Technology Institute (KETI) | Korea Electronics Technology Institute; Chung-Ang University
KOREAN_RESEARCH_INSTITUTE,한국 연구기관,KIST,7,3,research,0,KIST | Korea Institute of Science and Technology | Korea Institute of Science and Technology (KIST)
KOREAN_RESEARCH_INSTITUTE,한국 연구기관,KITECH,1,1,research,0,Korea Institute of Industrial Technology
